"id","title","image_file_name","image_content_type","image_file_size","image_updated_at","status","created_at","updated_at","label"
1,"Corrections","corrections.jpg","image/jpeg",1678416,"2019-04-17 19:50:06",1,"2019-04-17 19:50:06","2019-04-17 19:50:06","Workplace"
2,"Early Childhood Educator","early-childhood-educator.jpg","image/jpeg",1460824,"2019-04-17 19:50:56",1,"2019-04-17 19:50:56","2019-04-17 19:50:56","Education"
3,"EMT Workers","emt.jpg","image/jpeg",1479273,"2019-04-17 19:51:52",1,"2019-04-17 19:51:52","2019-04-17 19:51:52","Safety"
4,"Forest Ranger","forest-ranger.jpg","image/jpeg",2697195,"2019-04-17 19:53:18",1,"2019-04-17 19:53:18","2019-04-17 19:53:18","Environment"
5,"Nurse","nurse.jpg","image/jpeg",1203348,"2019-04-17 19:54:01",1,"2019-04-17 19:54:01","2019-04-17 19:54:01","Healthcare"
6,"Clerical Worker","clerical-worker.jpg","image/jpeg",3208293,"2019-04-17 19:54:56",1,"2019-04-17 19:54:56","2019-04-17 19:54:56","Workplace"
7,"Higher Education","higher-ed.jpg","image/jpeg",1465212,"2019-04-17 19:55:42",1,"2019-04-17 19:55:42","2019-04-17 19:55:42","Education"
8,"Home Care Worker","home-care-worker.jpg","image/jpeg",1221691,"2019-04-17 19:56:03",1,"2019-04-17 19:56:03","2019-04-17 19:56:03","Healthcare"
9,"Behavioral Health","behavioral-health.jpg","image/jpeg",1213944,"2019-04-17 19:56:39",1,"2019-04-17 19:56:39","2019-04-17 19:56:39","Healthcare"
10,"K-12","k-12.jpg","image/jpeg",2073767,"2019-04-17 19:57:21",1,"2019-04-17 19:57:21","2019-04-17 19:57:21","Education"
11,"Police Officer","law-enforcement.jpg","image/jpeg",1641573,"2019-04-17 19:57:55",1,"2019-04-17 19:57:55","2019-04-17 19:57:55","Law Enforcement"
12,"Librarians","librarians.jpg","image/jpeg",2501729,"2019-04-17 19:58:25",1,"2019-04-17 19:58:25","2019-04-17 19:58:25","Librarians"
13,"Nurses","nurses.jpg","image/jpeg",1236325,"2019-04-17 19:59:18",1,"2019-04-17 19:59:18","2019-04-17 19:59:18","Healthcare"
14,"Construction Worker","construction.jpg","image/jpeg",2395793,"2019-04-17 19:59:50",1,"2019-04-17 19:59:50","2019-04-17 19:59:50","Public Works"
15,"Bus Driver","bus-driver.jpg","image/jpeg",1752877,"2019-04-17 20:00:14",1,"2019-04-17 20:00:14","2019-04-17 20:00:14","Transportation"
